theta_deg,ef99p9,emax,global_ef99p9,dir_x,dir_y,dir_z
0,157.687,158.1041,133.7358,0.6929,0.6848,0.2254
5,156.1436,156.276,132.8393,0.7077,0.643,0.2926
10,154.6874,154.8496,132.8273,0.7148,0.5887,0.3775
15,153.4585,153.6555,132.8597,0.7184,0.5409,0.4374
20,152.4693,152.5842,133.1338,0.7209,0.4942,0.4859
25,152.2121,152.4263,133.5886,0.7192,0.4523,0.5274
30,151.24,151.5387,134.3207,0.7139,0.4047,0.5714
35,149.5668,149.933,134.3621,0.7072,0.3609,0.608
40,147.2145,147.6291,134.1535,0.7004,0.3157,0.6401
45,144.2259,144.6685,134.2591,0.6877,0.2671,0.6751
50,140.6566,141.1053,134.2844,0.676,0.2154,0.7047
55,136.6065,137.0094,133.4866,0.6596,0.164,0.7335
60,132.352,132.4672,132.5023,0.6395,0.1091,0.761
65,129.9924,130.1601,132.4318,0.6219,0.0157,0.7829
70,128.7848,129.0192,132.2055,0.6036,-0.0892,0.7923
75,127.9775,128.1281,132.0445,0.5748,-0.2347,0.7839
80,127.4606,127.5239,131.8862,0.5203,-0.3663,0.7715
85,127.5429,127.5769,131.3554,0.4539,-0.5125,0.7289
90,131.5335,131.7659,130.6642,0.3541,-0.657,0.6655
95,135.56,135.9152,129.9374,0.2789,-0.7147,0.6415
100,139.422,139.9119,129.1317,0.1966,-0.7524,0.6287
105,143.0163,143.649,128.6355,0.1251,-0.7834,0.6088
110,146.4283,147.0349,127.2324,0.0561,-0.807,0.5879
115,149.4264,149.9889,126.4359,-0.0075,-0.8254,0.5644
120,151.9243,152.4408,126.1569,-0.07,-0.8389,0.5397
125,153.8648,154.3338,125.6566,-0.126,-0.8498,0.5118
130,155.2037,155.6244,125.4692,-0.1845,-0.855,0.4847
135,155.9119,156.284,126.2561,-0.2412,-0.8603,0.4492
140,155.968,156.2924,126.9645,-0.2988,-0.8631,0.4071
145,155.3681,155.6451,128.8858,-0.3662,-0.8606,0.3539
150,154.1276,154.3595,130.0529,-0.4368,-0.8532,0.285
155,152.6725,152.7007,131.0636,-0.4906,-0.8438,0.2177
160,155.0165,155.7004,131.982,-0.5609,-0.8202,0.1127
165,156.8515,157.7561,132.5081,-0.613,-0.7898,0.0207
170,157.901,158.8465,133.1154,-0.6443,-0.7616,-0.069
175,158.273,158.9623,133.1647,-0.674,-0.7216,-0.1583
