theta_deg,ef99p9,emax,global_ef99p9,dir_x,dir_y,dir_z
0,198.6319,199.7503,149.0417,0.5799,0.7479,0.3231
5,197.5173,198.9094,148.4729,0.6241,0.7039,0.3391
10,195.5488,196.9827,147.7536,0.678,0.6462,0.3503
15,192.775,193.9976,146.6376,0.7487,0.569,0.3401
20,188.9764,190.0068,145.5427,0.8234,0.4681,0.3208
25,184.1901,185.0496,143.861,0.8735,0.3798,0.3047
30,178.5068,179.2222,141.9206,0.9083,0.2878,0.3036
35,172.0035,172.6036,139.6552,0.9331,0.2104,0.2916
40,164.988,165.3264,137.6805,0.9497,0.1255,0.2868
45,159.6225,159.6879,135.647,0.9584,0.0474,0.2814
50,158.2815,158.3902,133.5364,0.9625,-0.041,0.2682
55,156.6291,156.798,131.6654,0.9586,-0.1241,0.2564
60,154.6983,154.942,130.1392,0.9436,-0.2086,0.2571
65,152.7125,152.8695,129.403,0.9232,-0.2888,0.2535
70,151.0986,151.1483,128.922,0.8913,-0.3737,0.2567
75,150.2193,150.2931,128.4454,0.852,-0.4576,0.2544
80,149.3319,149.4457,128.3611,0.7948,-0.5469,0.2631
85,148.457,148.6254,128.4573,0.7253,-0.6311,0.2751
90,147.6319,147.8673,128.5359,0.6421,-0.713,0.2818
95,146.9696,147.1945,128.5134,0.5539,-0.7839,0.2806
100,146.4369,146.6373,128.4254,0.4581,-0.8465,0.2713
105,147.9952,148.3684,128.8996,0.3614,-0.8986,0.2488
110,150.9833,151.4604,129.9116,0.262,-0.9385,0.2247
115,154.0957,154.5508,131.1657,0.1829,-0.9663,0.1813
120,157.253,157.5503,132.7008,0.1092,-0.9848,0.1354
125,161.459,161.6217,134.889,0.0451,-0.9951,0.0882
130,168.2171,168.4923,136.7171,-0.0247,-0.9993,0.0298
135,174.8667,175.5589,138.9691,-0.0913,-0.9955,-0.0254
140,180.6757,181.7598,141.1193,-0.1528,-0.9856,-0.0723
145,185.6852,186.9988,143.2014,-0.2091,-0.9721,-0.1057
150,190.0459,191.1968,145.1925,-0.2656,-0.9526,-0.1482
155,193.329,194.2961,147.3587,-0.3191,-0.929,-0.1873
160,195.563,196.2556,148.5423,-0.37,-0.904,-0.214
165,196.8135,197.0439,149.6654,-0.4192,-0.8755,-0.2403
170,197.8842,198.14,150.3089,-0.4742,-0.8393,-0.2659
175,198.7359,199.4946,149.8769,-0.5287,-0.7939,-0.3003
